timestamp,open,high,low,close,volume,volume_quote
1605398400.0,1.159,1.18,1.076,1.151,2181024.215,2448395.460741
1605484800.0,1.151,1.293,1.109,1.264,4216247.763,5084850.627215
1605571200.0,1.266,1.443,1.232,1.339,5064518.007,6711886.375845
1605657600.0,1.339,1.354,1.214,1.274,2900853.645,3733146.201654
1605744000.0,1.275,1.35,1.115,1.196,3280714.025,3965014.696013
1605830400.0,1.196,1.224,1.134,1.16,2179425.399,2563623.675803
1605916800.0,1.163,1.31,1.155,1.247,2610688.104,3264570.189645
1606003200.0,1.248,1.642,1.182,1.634,5035377.322,6919031.186331
1606089600.0,1.634,1.919,1.352,1.677,8661822.855,14060560.033689
1606176000.0,1.685,1.986,1.589,1.753,5530479.414,9850144.559728
1606262400.0,1.752,1.783,1.515,1.622,4547006.158,7529467.086149
1606348800.0,1.63,1.874,1.504,1.631,3039140.435,5016278.474098
1606435200.0,1.637,1.71,1.301,1.476,2998512.854,4369591.300814
1606521600.0,1.476,1.617,1.336,1.564,2788291.552,4052969.061712
1606608000.0,1.553,1.748,1.464,1.63,3341643.192,5402817.873346
1606694400.0,1.636,1.689,1.522,1.572,1829684.584,2924649.758955
1606780800.0,1.571,1.7,1.523,1.589,2285621.458,3654944.842124
1606867200.0,1.585,1.775,1.54,1.55,2590785.986,4212197.34469
1606953600.0,1.55,1.693,1.499,1.655,1983743.263,3152117.431726
1607040000.0,1.667,1.97,1.655,1.834,3472379.859,6373037.460177
1607126400.0,1.834,1.956,1.582,1.588,2740494.738,4793363.590046
1607212800.0,1.588,1.743,1.542,1.694,1986394.969,3292969.204441
1607299200.0,1.696,1.72,1.587,1.628,1120395.924,1837624.239378
1607385600.0,1.628,1.863,1.59,1.799,2295217.662,3937076.075655
1607472000.0,1.8,1.846,1.51,1.545,2779919.165,4633092.2466
1607558400.0,1.541,1.59,1.38,1.568,2245939.177,3383297.51564
1607644800.0,1.564,1.572,1.405,1.428,1514939.831,2236804.023706
1607731200.0,1.428,1.438,1.3,1.327,1729094.676,2340544.223627
1607817600.0,1.328,1.45,1.323,1.39,992669.595,1392053.644585
1607904000.0,1.39,1.499,1.364,1.459,987871.024,1415093.613156
1607990400.0,1.458,1.459,1.371,1.405,960554.247,1352820.482752
1608076800.0,1.407,1.478,1.37,1.426,1212367.961,1725118.716368
